absolutist | adj. | 专制主义的；绝对主义的
absolutist | n. | 专制主义者，绝对主义者
academia | n. | 学术界
adversarial | adj. | 对立的，敌对的
air- conditioning | n. | 空调系统
arrestee | n. | 被逮捕者
asocial | adj. | 不与人来往的，不合群的
attuned | adj. | 熟悉的，适应的，习惯的
baluster | n. | 栏杆柱
biophilia | n. | 人类亲近大自然的天性
biotech | n. | 生物技术，生物科技
biotic | adj. | 生物的，生命的
booby | n. | 傻瓜；鲣⻦
branding | n. | 品牌创建
bullock | n. | 小阉牛
cautiousness | n. | 小心，谨慎
childless | adj. | 无子女的，无后代的
chiller | n. | 恐怖电影，恐怖小说；冷却器
codify | vt. | 把...编成法典
commonality | n. | 共同特点，共性，共通性
constitutionality | n. | 符合宪法，合宪性
contributory | adj. | 促成的，促进的，起作用的
controllable | adj. | 可管理的，可操纵的，可控制的
coronavirus | n. | 冠状病毒
cubicle | n. | 隔间
cure-all | n. | 万灵药，灵丹妙药
dazzlingly | adv. | 耀眼地；令人赞叹地
decimation | n. | 毁灭，大量杀戮，大幅削减
deep-seated | adj. | 根深蒂固的，难以改变的
demoralization | n. | 泄气，士气低落
double-glaze | vt. | 给...安装双层玻璃
downturn | n. | (商业经济的) 衰退，衰退期
drawn-out | adj. | 拖得太久的，冗⻓的
enchantingly | adv. | 迷人地，令人陶醉地，使人喜悦地
exclusionary | adj. | 排斥 (性) 的，排除在外的
explicatory | adj. | 解释的，说明的
factoid | n. | 有趣消息；仿真陈述
farcical | adj. | 荒唐的，荒谬的，可笑的
fearsome | adj. | 很可怕的，十分吓人的
framer | n. | 筹划者，构想者；镶框者
frizzle | vt. | 把...烫卷曲，把...烤焦
futurologist | n. | 未来学家
geocentric | adj. | 以地球为中心的
glowingly | adv. | 热情赞扬地
guardianship | n. | 监护人的身份，监护地位
hard-line | adj. | 立场坚定的，强硬的
homegrown | adj. | 自家种的；本国产的，本地产的
hominid | n. | 人科动物
implausible | adj. | 似乎不合情理的，难以置信的
inconclusive | adj. | 无定论的，不确定的
