climb mountains|爬山
go shopping|购物；买东西
play the piano|弹钢琴
go hiking|去远足
weekend|周末
often|经常
sometimes|有时候
rain|下雨
either|也
next|下一个
Spring|春天
Summer|夏天
Fall|秋天
winter|冬天
season|季节
which|哪一个
best|最；极
always|总是
play with|玩…
snow|雪
leaf|（复数 leaves）叶子
up|至北方或北方城市
north|北方；向北方
Halloween|万圣节之前夕
swim|游泳
fly kites|放风筝
skate|滑冰；滑冰鞋
make a snowman|堆雪人
plant trees|种树
why|为什么
because|因为
sleep|睡觉
May|五月
June|六月
July|七月
chart|图表
Birthday|生日
Uncle|叔叔；舅舅
Cousin|堂（表）兄弟；堂（表）姐妹
first|第一
second|第二
third|第三
forth|第四
fifth|第五
eighth|第八
ninth|第九
twelfth|第十二
twentieth|第二十
send|寄；发送
e-card|电子卡片
her|她的
able|能
everybody|每个人
then|那么
date|日期
talk|讲话
Children’s Center|儿童活动中心
see you later|再见
listen to music|听音乐
clean the room|打扫房间
write a letter|写信
write an e-mail|写电子邮件
mom|妈妈
grandpa|爷爷；外公
speak to|和…讲话
call|打电话
study|书房
fly|飞
jump|跳
walk|走
run|跑
kangaroo|袋鼠
trunk|象鼻
climb|往上爬
fight|打架
swing|荡；荡秋千
drink water|喝水
climber|攀登者
take pictures|照相
pick up leaves|采摘树叶
catch butterfly|捉蝴蝶
woods|树木
ant|蚂蚁
honey|蜂蜜
thing|东西；物
count insects|数昆虫
collect leaves|收集树叶
wtite a report|写报告
play chess|下棋
have a picnic|举行野餐
him|他（宾格）
leave|离开
us|我们（宾格 over there 在那边
by|经，乘
foot|脚
bike|自行车
bus|公共汽车
train|火车
plane|飞机
ship|船；舰
subway|地铁
how|怎样
go to school|上学
traffic|交通
traffic light|交通灯
traffic rule|交通规则
stop|停，停车站
wait|等待
remember|记住
get to|到达
find|寻找；找到
difference|不同；区别
same|相同的
every|每个；所有的
country|国家
mean|意思是
drive|驾驶
right|右边的
side|边
England|英国
Australia|澳大利亚
however|但是
