do morning exercises|晨练
eat breakfast|吃早饭
have English class|上英语课
play sports|进行体育运动
eat dinner|吃晚饭
when|什么时候
about|关于,大约
policeman|警察
work|工作
evening|夜晚；晚上
get up|起床
at|在……点钟
usually|通常；一般
noon|中午
tell|告诉、说
climb mountains|爬山
go shopping|购物；买东西
play the piano|弹钢琴
visit grandparents|看望祖父母
go hiking|去远足
weekend|周末
often|经常
sometimes|有时候
rain|下雨
either|也
next|也
spring|春天
summer|夏天
fall|秋天
winter|冬天
season|季节
best|最；极
always|总是
play with|玩，与…一起玩
snow|雪
leaf|(复数leaves)叶子
up|
north|北方；向北方
Halloween|万圣节前夕(指十月三十一日夜晚)
Thanksgiving|感恩节
swim|游泳
fly kites|放风筝
skate|滑冰；滑冰鞋
make a snowman|堆雪人
plant trees|种树
why|为什么
because|因为
sleep|睡觉
Jan. / January|一月
Feb. / February|二月
Mar. / March|三月
Apr. / April|四月
May|五月
June|六月
July|七月
Aug. / August|八月
Sept. / September|九月
Oct. / October|十月
Nov. / November|十一月
Dec. / December|十二月
chart|图表
birthday|生日
uncle|叔叔；舅舅
cousin|表兄弟,表姐妹
first|第一
second|第二
third|第三
fourth|第四
fifth|第五
eighth|第八
ninth|第九
twelfth|第十二
send|寄；发送
e-card|电子卡片
her|她的
able|能
everyone|每个人
then|那么
date|日期
draw pictures|画画
cook dinner|做饭
read a book|看书
answer the phone|接电话
talk|讲话
Children's Center|儿童活动中心
see you later|再见
listen to music|听音乐
clean the room|打扫房间
write a letter|写信
write an e-mail|写电子邮件
mom|妈妈
grandpa|爷爷；外公
speak to|和…讲话
hold  on|等一下
study|书房
fly|飞
jump|跳
walk|走
run|跑
kangaroo|袋鼠
truck|象鼻
climb|往上爬
fight|打架
swing|荡；荡秋千
drink water|喝水
climber|攀登者
take pictures|照相
watch insects|观察昆虫
pick up leaves|采摘树叶
do an experiment|做实验
catch butterfly|捉蝴蝶
ant|蚂蚁
interesting|有趣的
have a look|看一看
honey|蜂蜜
count insects|数昆虫
collect leaves|收集树叶
write a report|写报告
play chess|下棋
have a picnic|举行野餐
him|他(宾格)
leave|离开
us|我们(宾格)
over there|在那边
