window|窗户
board|写字板
light|灯，灯管
have|（我们）有
picture|画，图画
door|门
floor|地板
classroom|教室
many|许多的
our|我们的
classmate|同学
have a look|
seat|座位
near|在……的旁边
what|什么
in|在……里面
the|这个，这里
we|我们
new|新的
go|去
where|在哪里
computer|计算机
teacher’s desk|讲台
wall|墙
fan|扇子，电扇
clean|打扫，清洁，擦干净的
good idea|好主意
all right|好吧，好的
good job|干的好
you|你
see|看
me|我
look at|看
Chinese book|语文书
English book|英语书
math book|数学书
schoolbag|书包
story-book|故事书
notebook|笔记本
pencil|铅笔
colour|颜色
fat|胖的
may|可以
sure|当然可以
here you are|给你
bag|
pen|
twenty-one|二十一
thirty|
thirty-one|三十一
forty|
forty -one|四十一
fifty|五十
heavy|重的；沉重的
what’s=what is|
sorry|对不起
long hair|长头发
short hair|短头发
thin|瘦的
strong|健壮的
quiet|安静的
friend|(s)：[frend]朋友（复数）
Chinese|中国的
like|喜欢
his|他的
photo|照片
he’s=he is|
has|（他/她）有
name|名字
he|他
teacher|教师
student|学生
music|音乐
science|科学
sports|体育运动
computer game|电脑游戏
painting|绘画
she’s=she is|
her|她的
you’re=you are|
she|她
right|对的；正确的
boy|男孩
girl|女孩
study|书房
bathroom|卫生间
bedroom|卧室
living room|客厅
kitchen|厨房
it’s=it is|
hey|嘿
fish|鱼
isn’t=is|
nothere|这里
room|房间
school|学校
phone|电话
bed|床
sofa|沙发
shelf|书架
fridge|冰箱
table|桌子
they|他们
aren’t=are not|
they’re=they are|
key|钥匙
open|打开
look|看
please|请
on|在……上面
no|不；不是
desk|课桌；书桌
chair|椅子
rice|米饭
noodle|(s) ：['nu:dl]面条（复数）
beef|牛肉
vegetable|蔬菜
soup|汤
dinner|晚餐；正餐
wait|等I’d
l’d like =I would like|
bread|面包
milk|牛奶
egg|蛋
water|水
hungry|饥饿的
for|为；给
thank you|谢谢你
knife|刀
chopsticks|筷子（复数）
spoon|勺子
plate|盘子
help|帮助；帮忙
pass|传递
ready|准备好了
try|常识；试一下
help yourself|随便吃
show|展示[ʃəu]
yummy|好吃的
food|食物
use|使用
chicken|鸡肉
family|家庭
parents|父母
uncle|叔叔；舅舅
aunt|姑姑；婶；姨
baby|婴儿
people|人
member|成员
only|只有；仅仅
puppy|小狗
gee|用以表示惊奇、赞赏
come|来
who|谁
sister|姐妹
brother|兄弟
father|父亲；爸爸
baseball player|棒球运动员
driver|司机
doctor|医生
farmer|农民
nurse|护士
young|年轻的
