253. playground|操场
254. garden|花园
255. teacher,s-office|教师办公室
256. library|图书馆
257. canteen|食堂
258. first|第一
259. visitor|客人；参观者
260. there|哪儿；那里
261. lunch|午餐
262. this way|这边
263. that|那；那个
264. art room|绘画教室
265. computer room|计算机教室
266. washroom|卫生间
267. music room|音乐教室
268. gym|体育馆
269. TV room|电视机房
270. second|第二
271. cool|订好的；酷的
272. English class|英语课
273. music class|音乐课
274. breakfast|早餐
275. P.E. class|体育课
276. over|结束
277. go to the playground|去操场
278. just a minute|再多一会
279. go home|回家
280. kid|小孩；孩子
282. run|跑
283. get up|起床
284. go to school|上学
285. go to bed|上床睡觉
286. ready|准备好的
287. hurry|抓紧；赶快
288. math|数学
289. Chinese n.|中文，汉语
290. china n.|中国;瓷器
291. England n.|英格兰;英国
292. English a.|英国的；英国人
293. P.E.|体育
294. class|班级；课程
295. music|音乐
296. for|为；给
297. jacket|夹克衫
298. shirt|衬衫
299. T-shirt|T 恤衫
300. skirt|裙子
301. dress|连衣裙
302. sweater|毛衣
303. whose|谁的
304. no|不；不是
305. not|不；不是的
306. jeans|牛仔裤
307. pants|长裤
308. parents|父母亲
309. socks|袜子
310. shoes|鞋子
311. shorts|短裤
312. these|这些
313. those|那些
314. what for|为什么
315. neighbour|邻居
316. colour|颜色
317. warm|暖和的
318. cold|寒冷的
319. cool|凉爽的；酷的
320. hot|炎热的
321. weather|天气
322. weather report|天气预报
323. wear|穿
324. football|足球
325. put on|穿上. put on 动词,表示穿上
326. rain n.|雨 vi.下雨
327. rainy|下雨的
328. now|现在
329. snow n.|雪；vi.下雪
330. snowy|下雪的
331. wind n.|风
332. windy|有风的
333. cloud|云
334. cloudy|多云的
335. sun|太阳
336. sunny|晴朗的
337. not much|没什么
338. New York|纽约
339. matter|事情；麻烦
340. have to|必须；不得不
341. colourful|色彩丰富的
342. pretty|漂亮的；可爱的
343. cheap|便宜的
344. expensive|昂贵的
345. sixty|六十
346. seventy|七十
347. hundred|百
348. how much|多少钱
349. ninety-nine|九十九
350. sneakers|胶底帆网球鞋
351. slippers|拖鞋
352. sandals|凉鞋
353. boots|靴子
354. want|想要
355. pair|一双；一对
356. a pair of|一双
357. son|儿子
358. sun|太阳
359. size|尺码
360. take|买
361. them|它（他、她）们
362. sheep|绵羊
363. horse|马
364. hen|母鸡
365. lamb|小羊；羔羊
366. goat|山羊
367. cow|奶牛
368. donkey|驴子
369. key|钥匙
370. rabbit|兔子
371. pig|猪
372. duck|鸭子
373. tomoto|西红柿
374. cucumber|黄瓜
375. potato|土豆
376. onion|洋葱
377. carrot|胡萝卜
378. fresh|新鲜的
379. there be|有
