school|学校
classroom|教室
textbook|课本
storybook|故事书
Chinese book|语文书
English book|英语书
exercise book|练习本
notebook|笔记本
desk|课桌
chair|椅子
one|一
two|二
three|三
four|四
five|五
six|六
seven|七
eight|八
nine|九
ten|十
eleven|十一
twelve|十二
our|我们的
father|爸爸
dad|爸爸
mother|妈妈
mum|妈妈
brother|哥哥；弟弟
sister|姐姐；妹妹
daughter|女儿
son|儿子
grandfather|祖父；外祖父
grandpa|爷爷；外公
grandmother|祖母；外祖母
grandma|奶奶；外婆
uncle|叔叔
aunt|阿姨
mango|芒果
bread|面包
candy|糖果；巧克力
doughnut|炸面圈
coffee|咖啡
fruit|水果
grapes|葡萄
honey|蜂蜜
ice cream|冰激凌
jam|果酱
kangaroo|袋鼠
lion|狮子
nest|窝；巢
owl|猫头鹰
parrot|鹦鹉
quail|鹌鹑
rooster|公鸡
elephant|大象
tiger|老虎
skirt|裙子
T-shirt|T恤衫
uniform|制服；校服
vest|坎肩；背心
watch|表；手表
box|盒子；箱子
yacht|帆船；游艇
zip|拉链
zebra|斑马
coat|外套
sweater|毛衣
