Britain|英国
Australia|澳大利亚
New Zealand|新西兰
hello|喂，嗨
hi|喂，嗨
I|我
am|是
France|法国
Germany|德国
Russia|俄罗斯
where|哪里
are|是
you|你，你们
from|从
city|城市
road|道路
street|街道
what|什么
is|是
your|你的，你们的
name|名字
clever|聪明的
quiet|安静的
pretty|漂亮的，美丽的
her|她的
his|他的
eye|眼睛
nose|鼻子
hair|头发
smart|聪明的
cute|可爱的
lovely|可爱的
active|活泼的，好动的
how old|多大年龄
he|他
she|她
beautiful|漂亮的； 美丽的
that|那，那个
handsome|英俊的
man|男人；男士
woman|女人；女士
write|作业
singer|歌手；歌唱家
dancer|舞蹈者；舞蹈演员
this|这，这个
family|家庭；家族
father|父亲
mother|母亲
love|爱
worker|工人
actor|演员
actress|女演员
a|一个
an|一个
parent|（s）父母亲
s|（s）父母亲
policeman|警察
policewoman|女警察
reporter|记者
who|谁
uncle|叔（伯、舅、姑、姨）夫
police|警察；警方
aunt|婶（伯、舅、姑、姨）母
cinema|电影院
bank|银行
hotel|宾馆
work|工作
study|学习
CCTV|中国中央电视台
hospital|医院
shopping mall|购物中心
in|在……里面
on|在……上面
at|在
shop|商店
restaurant|饭馆
company|公司
library|图书馆
grandfather|（grandpa）（外） 祖父
grandpa|（grandpa）（外） 祖父
grandmother|（grandma）（外）祖母
grandma|（grandma）（外）祖母
driver|司机
schoolbag|书包
activity book|活动手册
dictionary|词典
put|放置
ruler|尺子
crayon|蜡笔
yes|是的
fish|鱼
hen|母鸡
goose|鹅
animal|动物
cow|奶牛
horse|马
elephant|大象
no|不
not|不，不是
sun cap|太阳帽
camera|照相机
it|它
time|时间
whose|谁的
umbrella|雨伞
fan|扇子
coconut|椰子
grapefruit|西柚；葡萄柚
hami melon|哈密瓜
fruit|水果
juice|果汁
milk|牛奶
water|水
watermelon|西瓜
cherry|樱桃
strawberry|草莓
star fruit|杨桃
peach|桃
food|食品
noodle|（s）面条
longan|龙眼
lychee|荔枝
these|这些
those|那些
they|他们
thank|谢谢
