cat|猫
monkey|猴子
dog|狗
duck|鸭子
panda|熊猫
bear|熊
pig|猪
rabbit|兔子
bird|鸟
mouse|老鼠
book|书
bag|书包
pen|钢笔
pencil|铅笔
pencil-box|铅笔盒
ruler|尺
eraser|橡皮
sharpener|卷笔刀
glue|胶
marker|马克笔
nose|鼻子
eye|眼睛
face|脸
mouth|口，嘴
head|头
ear|耳朵
neck|脖子
arm|手臂
hand|手
leg|腿
knee|膝盖
foot|脚
doll|洋娃娃
ball|球
balloon|气球
car|汽车
bus|公共汽车
bike|自行车
taxi|出租汽车
train|火车
ship|船
plane|飞机
boat|小船
red|红色的
blue|蓝色的
yellow|黄色的
green|绿色的
purple|紫色的
brown|棕色的
white|白色的
black|黑色的
orange|橙色的;橙；桔子
grey|灰色的
hamburger|汉堡包
hot dog|热狗
coke|可乐
cake|蛋糕
egg|蛋
pear|梨子
apple|苹果
banana|香蕉
milk|牛奶
juice|果汁
water|水
rice|米饭
noodles|面条
chicken|鸡肉
