go to the beach|去沙滩
enjoy sunbathing|享受日光浴
enjoy the moon and stars|看月亮和星星
stay at home|待在家里
have a party|聚会
enjoy Spring Festival|过春节
by plane|乘飞机
sun|太阳
moon|月亮
star|星星
at night|在晚上
at home|在家里
listen to English|听英语
speak English|讲英语
read English|读英语
write English|写英语
talk in English|用英语交流
play in English|用英语玩游戏
learn|学；学习；学到
a lot of|很多
word|单词；词
blackboard|黑板
say|说
do tasks|做任务
have an English party|举办英语聚会
act in drama|表演戏剧
learn from each other|互相学习
subject|学科
lesson|课
but|但是
yesterday|昨天
why|为什么
use|用
bank|银行
in front of|在……前面
bookstore|书店
behind|在……后面
hotel|宾馆
clothes shop|服装店
supermarket|超市
across the road|在马路对面
hospital|医院
river|河流
near|在……附近
beside|在……旁边
between|在……中间
healthy(food)|健康的食品
vegetable|蔬菜
go down this street|顺着这条街走
turn right at the traffic lights|交通灯处右转
cross the street|穿过马路
street|大街；街道
turn right/left|右转/左转
on the right/left|在右边/左边
minute|分钟；一会儿
City Library|城市图书馆
restaurant|饭店
post office|邮局
by bike|骑自行车
by subway|乘地铁
on foot|步行
half an hour|半小时
city|城市
library|图书馆
America|美国
Shanghai|上海
Xi’an|西安
Dalian|大连
by train|乘火车
by ship|乘轮船
travel|旅行
know|知道
hear|听见
lake|湖；湖泊
the Ming Tombs|明十三陵
the Temple of Heaven|天坛
the Forbidden City|紫禁城
Beihai Park|北海公园
tomorrow|明天
visit|参观
the Great Wall|长城
them|他们；她们；它们（they的宾格）
Britain|英国
Tower Bridge|伦敦塔桥
Big Ben|大本钟
Niagara Falls|尼亚加拉瀑布
Canada|加拿大
CN Tower|加拿大国家电视塔
Australia|澳大利亚
Sydney Opera House|悉尼歌剧院
Disneyland|迪士尼乐园
want|想
see|看见
favourite|最喜欢的
place|位置；地点
