China|中国
America|美国
England|英国
Singapore|新加坡
Canada|加拿大
good|好的
friend|朋友
brother|兄弟
sister|姐妹
boy|男孩
girl|女孩
teacher|教师
farmer|农民
postman|邮递员
doctor|医生
nurse|护士
driver|司机，驾驶员
class|班级
grade|年级
one|一
two|二
three|三
four|四
thirteen|十三
fourteen|十四
five|五
six|六
fifteen|十五
sixteen|十六
seven|七
eight|八
seventeen|十七
eighteen|十八
nine|九
ten|十
nineteen|十九
twenty|二十
pineapple|菠萝
lemon|柠檬
apple|苹果
pear|梨
watermelon|西瓜
kiwi fruit|猕猴桃
orange|橙子，橘子
banana|香蕉
potato|土豆，马铃薯
tomato|西红柿
carrot|胡萝卜
cucumber|黄瓜
eggplant|茄子
green pepper|青椒
fine|（天气）晴朗的
nice|好的，令人愉快的
warm|温暖的
cool|凉爽的
hot|炎热的
cold|寒冷的
sunny|晴朗的
cloudy|多云的，阴天的
windy|有风的，多风的
rainy|下雨的，多雨的
snowy|下雪的，多雪的
cap|(无边的) 帽子
hat|（有边的）帽子
T-shirt     T|恤衫
dress|女服，连衣裙
blouse|女衬衫
jacket|短上衣，夹克衫
raincoat|雨衣
sweater|毛线衫，毛衣
skirt|短裙
shirt|衬衫
shorts|短裤
jeans|牛仔裤
socks|短袜
shoes|鞋子
big|大的
small|小的
long|长的
tall|高的
short|短的，矮的
fat|胖的，肥的
strong|强壮的
thin|瘦的
new|新的
old|旧的，老的
happy|幸福的，快乐的
number|单元标题：号码；数字
