home|家
bedroom|卧室
bed|床
desk|客桌
chair|椅子
living room|起居室
TV|电视
sofa|沙发
armchair|单人沙发；扶手椅
ball|球
kite|风筝
kitchen|厨房
fridge|冰箱
table|桌子
study|书房
computer|电脑
picture|图片；照片
bathroom|浴室
DVD player DVD|播放器
clock|时钟
twenty-one|二十一
twenty-two|二十二
twenty-three|二十三
twenty-four|二十四
twenty-five|二十五
twenty-six|二十六
twenty-seven|二十七
twenty-eight|二十八
twenty-nine|二十九
eleven|十一
tweleve|十二
thirty|三十
forty|四十
boy|男孩
girl|女孩
fifty|五十
sixty|六十
teacher|教师
school|学校
seventy|七十
eighty|八十
bag|书包
book|书
ninety|九十
one hundred|一百
pen|钢笔
pencil|铅笔
maths|数学
PE|体育
Chinese|中文
English|英语
music|音乐
art|美术
subject|科目；学科
science|科学
lesson|课
drama|戏剧
listen|听
do|做
speak|说
listen and do|听听做做
play and act|说说唱唱
sing|唱歌
play|玩
act|表演
day|天
week|周
Sunday|星期日
Monday|星期一
Tuesday|星期二
Wednesday|星期三
Thursday|星期四
Friday|星期五
Saturday|星期六
today|今天
weekend|周末
park|公园
theme park|主题公园；游乐园
picnic|野餐
sausage|香肠
bread|面包
cake|蛋糕
lunch|午餐
pork|猪肉
beef|牛肉
rice|米饭
chicken|鸡肉
sing|唱歌
dance|跳舞
paint|（用颜料）绘画
draw|画画
read|读
watch|看
play|玩
read a book|看书
watch TV|看电视
play computer games|玩电脑游戏
game|游戏
do|做
go|去
shop|购物
go shopping|去购物
swim|游泳
go swimming|去游泳
fish|鱼；钓鱼
go fishing|去钓鱼
zoo|动物园
farm|农场
giraffe|长颈鹿
camel|骆驼
monkey|猴子
panda|熊猫
bear|熊
seal|海豹
dolphin|海豚
hippo|河马
tiger|老虎
cat|猫
dog|狗
horse|马
cow|母牛；奶牛
sheep|绵羊
goat|山羊
duck|鸭
pig|猪
