Good morning|早上好
Hi|你好
Good afternoon|下午好
Class|同学们
I|我
I'm = I am|我是
are|是
you|你
yes|是；对
am|是
no|不；不是；没有
not|不；没有
Goodbye|再见。
My|我的
friend|朋友
she|她
she's=she is|he    他
he's=he is|too    也
this|这；这个
is|是
sister|姐姐；妹妹
family|家；家庭
father|父亲；爸爸
mother|母亲；妈妈
brother|哥哥；弟弟
me|我
grandpa|祖父；外祖父
grandma|祖母；外祖母
Good evening.|晚上好。
look at|看；瞧
T-shirt    T|恤衫
it|它
it's=it is|nice    好看的；好的
skirt|裙子
How nice!|真好看！
cap|便帽；帽子
great|好极了；很好
jacket|夹克衫
new|新的
What colour …?   ……|是什么颜色的？
red|红色的
colour|颜色
orange|橙色的
now|现在；目前
green|绿色的
and|和；与；又
yellow|黄色的
black|黑色的
blue|蓝色的
brown|棕色的
white|白色的
Would you like …?|你想要……吗？
an|一个
egg|蛋；鸡蛋
Yes, please.|好的，太感谢了。
or|或；还是
a|一个
pie|馅饼；派.
Nice to meet you.|很高兴认识你。
No, thank you.|不，谢谢你。
What about…?    ……|怎么样？
cake|蛋糕；糕饼
ice cream|冰淇淋
sweet|糖果
hot dog|热狗
look|看；瞧
what|什么
Happy New Year!|新年快乐！
uncle|叔父；伯父；舅父；姑父；姨父
This is for you.|这是给你的。
doll|玩具娃娃
that|那；那个
ball|球
robot|机器人
CD|光盘
car|小汽车；轿车
Happy Birthday!|生日快乐！
toy|玩具
ah|啊
ha|哈
