in class|在上课
Stand up.|起立。
Mr|先生
Sit down.|坐下。
please|请
open|开；打开
the|这个；这些；那个；那些
door|门
sorry|对不起
come in|进来
close|关上；合上
window|窗,窗户
blackboard|黑板
book|书
rubber|橡皮
don't|不要
listen to|听
parrot|鹦鹉
in|在……里
library|图书馆
shh|嘘
shout|喊；叫
run|跑；跑步
eat|吃
here|这里；在这里
talk|说话；谈话
sleep|睡觉
drink|喝
milk|牛奶
English|英语
your|你的；你们的
pencil|铅笔
isn't|不是
that's|那是
schoolbag|书包
pen|钢笔
crayon|蜡笔
ruler|尺
pencil case|铅笔盒；铅笔袋
lunch box|午餐盒
where|在哪里
where's|在哪里
over there|在那里
bird|鸟
beautiful|漂亮的；美丽的
under|在……下面
desk|课桌；书桌
behind|在……后面
on|在……上面
chair|椅子
tree|树
guess|猜,猜测
one|一
two|二
three|三
oh|哦,啊
wow|哇,呀
How old are you?|你多大？
lovely|可爱的
nine|九
eight|八
four|四
five|五
six|六
seven|七
ten|十
right|对的；正确的
out|出局
What a nice cake!|多么漂亮的蛋糕啊！
Make a wish.|许个愿吧。
want|想要；想
It's time for ...|是……的时候了。
What time is it?|几点了？
wake up|醒；醒来
mum|妈妈
o'clock|……点钟
breakfast|早餐；早饭
Hurry up.|快点。
class|课；上课
dinner|晚餐；晚饭
bed|床
OK|好；行
lunch|午餐；午饭
eleven|十一
twelve|十二
bag|包；书包
these|这些
here's|这里是
farm|农场
Welcome to ...|欢迎来到……
they|他们；她们；它们
they're|他们是；她们是；它们是
pig|猪
those|那些
cow|奶牛
apple|苹果
pear|梨
chicken|鸡
duck|鸭子
orange|橙子
picture|图画；照片
who|谁
who's|谁是
we|我们
we're|我们是
twin|双胞胎之一
aunt|姑母；姨母；伯母；婶母；舅母
girl|女孩
man|男人；人
woman|妇女；女人
boy|男孩
baby|婴儿；宝宝
cousin|堂兄（弟）；堂姐（妹）；表兄（弟）；表姐（妹）
name|名字
