=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 1.985 ms
- 平均相邻汉明距离: 618.80 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 838 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. cow             (起点)
002. cake            (相邻汉明距离: 530)
003. tea             (相邻汉明距离: 618)
004. coffee          (相邻汉明距离: 406)
005. beer            (相邻汉明距离: 542)
006. wine            (相邻汉明距离: 445)
007. water           (相邻汉明距离: 605)
008. lake            (相邻汉明距离: 557)
009. fish            (相邻汉明距离: 611)
010. forest          (相邻汉明距离: 647)
011. grass           (相邻汉明距离: 543)
012. bread           (相邻汉明距离: 549)
013. cheese          (相邻汉明距离: 618)
014. program         (相邻汉明距离: 767)
015. software        (相邻汉明距离: 531)
016. system          (相邻汉明距离: 565)
017. server          (相邻汉明距离: 545)
018. computer        (相邻汉明距离: 589)
019. hardware        (相邻汉明距离: 496)
020. internet        (相邻汉明距离: 589)
021. network         (相邻汉明距离: 454)
022. database        (相邻汉明距离: 641)
023. data            (相邻汉明距离: 496)
024. code            (相邻汉明距离: 621)
025. phone           (相邻汉明距离: 660)
026. mobile          (相邻汉明距离: 384)
027. cloud           (相邻汉明距离: 649)
028. rain            (相邻汉明距离: 666)
029. wind            (相邻汉明距离: 490)
030. storm           (相邻汉明距离: 473)
031. snow            (相邻汉明距离: 576)
032. sun             (相邻汉明距离: 604)
033. moon            (相邻汉明距离: 569)
034. monkey          (相邻汉明距离: 573)
035. bird            (相邻汉明距离: 564)
036. dog             (相邻汉明距离: 539)
037. wolf            (相邻汉明距离: 450)
038. horse           (相邻汉明距离: 523)
039. cat             (相邻汉明距离: 548)
040. lion            (相邻汉明距离: 473)
041. love            (相邻汉明距离: 585)
042. happy           (相邻汉明距离: 550)
043. joy             (相邻汉明距离: 454)
044. star            (相邻汉明距离: 627)
045. stone           (相邻汉明距离: 614)
046. sky             (相邻汉明距离: 632)
047. friendly        (相邻汉明距离: 640)
048. sad             (相邻汉明距离: 620)
049. tree            (相邻汉明距离: 700)
050. orange          (相邻汉明距离: 635)
051. banana          (相邻汉明距离: 613)
052. bear            (相邻汉明距离: 568)
053. snake           (相邻汉明距离: 620)
054. river           (相邻汉明距离: 700)
055. rice            (相邻汉明距离: 617)
056. grape           (相邻汉明距离: 646)
057. strawberry      (相邻汉明距离: 591)
058. juice           (相邻汉明距离: 650)
059. milk            (相邻汉明距离: 686)
060. sugar           (相邻汉明距离: 738)
061. sorrow          (相邻汉明距离: 759)
062. grief           (相邻汉明距离: 549)
063. giraffe         (相邻汉明距离: 737)
064. elephant        (相邻汉明距离: 583)
065. dolphin         (相邻汉明距离: 620)
066. ocean           (相邻汉明距离: 629)
067. mountain        (相邻汉明距离: 743)
068. sheep           (相邻汉明距离: 728)
069. rabbit          (相邻汉明距离: 661)
070. mouse           (相邻汉明距离: 623)
071. keyboard        (相邻汉明距离: 535)
072. screen          (相邻汉明距离: 621)
073. search          (相邻汉明距离: 652)
074. website         (相邻汉明距离: 651)
075. email           (相邻汉明距离: 683)
076. memory          (相邻汉明距离: 689)
077. apple           (相邻汉明距离: 693)
078. algorithm       (相邻汉明距离: 676)
079. flower          (相邻汉明距离: 714)
080. meat            (相邻汉明距离: 751)
081. chicken         (相邻汉明距离: 633)
082. shark           (相邻汉明距离: 704)
083. whale           (相邻汉明距离: 601)
084. tiger           (相邻汉明距离: 764)
085. thunder         (相邻汉明距离: 717)
086. surprise        (相邻汉明距离: 759)
087. disgust         (相邻汉明距离: 665)
088. shame           (相邻汉明距离: 602)
089. fear            (相邻汉明距离: 624)
090. anxiety         (相邻汉明距离: 582)
091. nervous         (相邻汉明距离: 665)
092. excited         (相邻汉明距离: 683)
093. proud           (相邻汉明距离: 669)
094. angry           (相邻汉明距离: 671)
095. hate            (相邻汉明距离: 651)
096. lonely          (相邻汉明距离: 797)
097. calm            (相邻汉明距离: 756)
098. peaceful        (相邻汉明距离: 570)
099. noodle          (相邻汉明距离: 838)
100. soil            (相邻汉明距离: 821)
