=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp_opt.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 4.482 ms
- 平均相邻汉明距离: 600.62 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 821 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. cow             (起点)
002. cheese          (相邻汉明距离: 617)
003. cake            (相邻汉明距离: 641)
004. bread           (相邻汉明距离: 521)
005. grass           (相邻汉明距离: 549)
006. forest          (相邻汉明距离: 543)
007. fish            (相邻汉明距离: 647)
008. lake            (相邻汉明距离: 611)
009. water           (相邻汉明距离: 557)
010. wine            (相邻汉明距离: 605)
011. beer            (相邻汉明距离: 445)
012. tea             (相邻汉明距离: 524)
013. coffee          (相邻汉明距离: 406)
014. code            (相邻汉明距离: 663)
015. program         (相邻汉明距离: 555)
016. software        (相邻汉明距离: 531)
017. hardware        (相邻汉明距离: 505)
018. computer        (相邻汉明距离: 496)
019. internet        (相邻汉明距离: 539)
020. network         (相邻汉明距离: 454)
021. server          (相邻汉明距离: 596)
022. database        (相邻汉明距离: 609)
023. data            (相邻汉明距离: 496)
024. system          (相邻汉明距离: 574)
025. phone           (相邻汉明距离: 591)
026. mobile          (相邻汉明距离: 384)
027. cloud           (相邻汉明距离: 649)
028. storm           (相邻汉明距离: 685)
029. wind            (相邻汉明距离: 473)
030. rain            (相邻汉明距离: 490)
031. snow            (相邻汉明距离: 541)
032. stone           (相邻汉明距离: 595)
033. star            (相邻汉明距离: 614)
034. sky             (相邻汉明距离: 584)
035. sun             (相邻汉明距离: 551)
036. moon            (相邻汉明距离: 569)
037. monkey          (相邻汉明距离: 573)
038. lion            (相邻汉明距离: 509)
039. cat             (相邻汉明距离: 473)
040. dog             (相邻汉明距离: 471)
041. wolf            (相邻汉明距离: 450)
042. horse           (相邻汉明距离: 523)
043. bear            (相邻汉明距离: 511)
044. bird            (相邻汉明距离: 463)
045. snake           (相邻汉明距离: 593)
046. tree            (相邻汉明距离: 676)
047. flower          (相邻汉明距离: 584)
048. orange          (相邻汉明距离: 629)
049. banana          (相邻汉明距离: 613)
050. rice            (相邻汉明距离: 539)
051. grape           (相邻汉明距离: 646)
052. strawberry      (相邻汉明距离: 591)
053. juice           (相邻汉明距离: 650)
054. sugar           (相邻汉明距离: 686)
055. milk            (相邻汉明距离: 738)
056. mountain        (相邻汉明距离: 772)
057. river           (相邻汉明距离: 708)
058. ocean           (相邻汉明距离: 687)
059. dolphin         (相邻汉明距离: 629)
060. elephant        (相邻汉明距离: 620)
061. giraffe         (相邻汉明距离: 583)
062. grief           (相邻汉明距离: 737)
063. sorrow          (相邻汉明距离: 549)
064. sad             (相邻汉明距离: 527)
065. happy           (相邻汉明距离: 495)
066. friendly        (相邻汉明距离: 513)
067. joy             (相邻汉明距离: 563)
068. love            (相邻汉明距离: 456)
069. memory          (相邻汉明距离: 664)
070. email           (相邻汉明距离: 689)
071. website         (相邻汉明距离: 683)
072. search          (相邻汉明距离: 651)
073. algorithm       (相邻汉明距离: 684)
074. apple           (相邻汉明距离: 676)
075. screen          (相邻汉明距离: 608)
076. keyboard        (相邻汉明距离: 621)
077. mouse           (相邻汉明距离: 535)
078. rabbit          (相邻汉明距离: 623)
079. sheep           (相邻汉明距离: 661)
080. chicken         (相邻汉明距离: 686)
081. meat            (相邻汉明距离: 633)
082. whale           (相邻汉明距离: 746)
083. shark           (相邻汉明距离: 601)
084. tiger           (相邻汉明距离: 639)
085. thunder         (相邻汉明距离: 717)
086. surprise        (相邻汉明距离: 759)
087. lonely          (相邻汉明距离: 767)
088. peaceful        (相邻汉明距离: 768)
089. calm            (相邻汉明距离: 570)
090. excited         (相邻汉明距离: 726)
091. proud           (相邻汉明距离: 669)
092. angry           (相邻汉明距离: 671)
093. hate            (相邻汉明距离: 651)
094. disgust         (相邻汉明距离: 609)
095. shame           (相邻汉明距离: 602)
096. fear            (相邻汉明距离: 624)
097. anxiety         (相邻汉明距离: 582)
098. nervous         (相邻汉明距离: 665)
099. noodle          (相邻汉明距离: 693)
100. soil            (相邻汉明距离: 821)
