=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp_opt_2000.txt
单词总数: 2000
【核心性能与质量指标】
- 排序计算耗时: 74.508 ms
- 平均相邻汉明距离: 690.02 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 904 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 1998
--------------------------------------------------

00001. handshake          (起点)
00002. reenforce          (相邻汉明距离: 733)
00003. head               (相邻汉明距离: 732)
00004. hole               (相邻汉明距离: 531)
00005. hop                (相邻汉明距离: 496)
00006. HB                 (相邻汉明距离: 500)
00007. inflate            (相邻汉明距离: 654)
00008. changer            (相邻汉明距离: 575)
00009. carbon             (相邻汉明距离: 601)
00010. cursor             (相邻汉明距离: 639)
00011. collector          (相邻汉明距离: 606)
00012. cole               (相邻汉明距离: 533)
00013. correct            (相邻汉明距离: 594)
00014. check              (相邻汉明距离: 535)
00015. detector           (相邻汉明距离: 532)
00016. decoder            (相邻汉明距离: 521)
00017. developer          (相邻汉明距离: 616)
00018. desk               (相邻汉明距离: 572)
00019. dent               (相邻汉明距离: 541)
00020. dept               (相邻汉明距离: 450)
00021. depth              (相邻汉明距离: 510)
00022. dapper             (相邻汉明距离: 709)
00023. dastard            (相邻汉明距离: 586)
00024. daubster           (相邻汉明距离: 560)
00025. icky               (相邻汉明距离: 771)
00026. crow               (相邻汉明距离: 547)
00027. cue                (相邻汉明距离: 511)
00028. cox                (相邻汉明距离: 562)
00029. coop               (相邻汉明距离: 483)
00030. coolness           (相邻汉明距离: 634)
00031. completion         (相邻汉明距离: 701)
00032. compatible         (相邻汉明距离: 534)
00033. checker            (相邻汉明距离: 548)
00034. crosscheck         (相邻汉明距离: 530)
00035. check and balance  (相邻汉明距离: 531)
00036. check-up           (相邻汉明距离: 556)
00037. cheque             (相邻汉明距离: 616)
00038. GE                 (相邻汉明距离: 738)
00039. crest              (相邻汉明距离: 589)
00040. chest              (相邻汉明距离: 523)
00041. lost               (相邻汉明距离: 626)
00042. difficulty         (相邻汉明距离: 647)
00043. highest            (相邻汉明距离: 599)
00044. superb             (相邻汉明距离: 688)
00045. super              (相邻汉明距离: 533)
00046. conscious          (相邻汉明距离: 631)
00047. contrast           (相邻汉明距离: 592)
00048. confrontation      (相邻汉明距离: 605)
00049. conformity         (相邻汉明距离: 678)
00050. conventional       (相邻汉明距离: 635)
00051. contrivance        (相邻汉明距离: 668)
00052. concoct            (相邻汉明距离: 595)
00053. concoction         (相邻汉明距离: 302)
00054. connotation        (相邻汉明距离: 639)
00055. conception         (相邻汉明距离: 662)
00056. deconcentration    (相邻汉明距离: 692)
00057. concentric         (相邻汉明距离: 612)
00058. conjoin            (相邻汉明距离: 664)
00059. conjugate          (相邻汉明距离: 494)
00060. confluence         (相邻汉明距离: 641)
00061. confer on          (相邻汉明距离: 602)
00062. confess            (相邻汉明距离: 597)
00063. confession         (相邻汉明距离: 314)
00064. confessional       (相邻汉明距离: 381)
00065. conscience         (相邻汉明距离: 639)
00066. consciously        (相邻汉明距离: 584)
00067. consumeristic      (相邻汉明距离: 690)
00068. consumed           (相邻汉明距离: 625)
00069. countenancing      (相邻汉明距离: 734)
00070. count among        (相邻汉明距离: 708)
00071. countable          (相邻汉明距离: 507)
00072. decrement          (相邻汉明距离: 702)
