=== 语义排序结果体验 ===
算法: sorted_kd_tree.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 15.052 ms
- 平均相邻汉明距离: 720.70 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 873 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. wolf            (起点)
002. forest          (相邻汉明距离: 627)
003. dolphin         (相邻汉明距离: 809)
004. happy           (相邻汉明距离: 779)
005. giraffe         (相邻汉明距离: 798)
006. whale           (相邻汉明距离: 682)
007. apple           (相邻汉明距离: 861)
008. sheep           (相邻汉明距离: 804)
009. monkey          (相邻汉明距离: 761)
010. database        (相邻汉明距离: 729)
011. mountain        (相邻汉明距离: 798)
012. moon            (相邻汉明距离: 728)
013. grape           (相邻汉明距离: 753)
014. lonely          (相邻汉明距离: 873)
015. memory          (相邻汉明距离: 799)
016. anxiety         (相邻汉明距离: 817)
017. mobile          (相邻汉明距离: 835)
018. website         (相邻汉明距离: 656)
019. data            (相邻汉明距离: 671)
020. excited         (相邻汉明距离: 824)
021. disgust         (相邻汉明距离: 724)
022. angry           (相邻汉明距离: 678)
023. wind            (相邻汉明距离: 742)
024. fear            (相邻汉明距离: 746)
025. storm           (相邻汉明距离: 745)
026. sky             (相邻汉明距离: 599)
027. snake           (相邻汉明距离: 666)
028. fish            (相邻汉明距离: 586)
029. shark           (相邻汉明距离: 572)
030. internet        (相邻汉明距离: 813)
031. network         (相邻汉明距离: 454)
032. thunder         (相邻汉明距离: 827)
033. bread           (相邻汉明距离: 791)
034. cheese          (相邻汉明距离: 618)
035. meat            (相邻汉明距离: 668)
036. juice           (相邻汉明距离: 753)
037. cloud           (相邻汉明距离: 814)
038. ocean           (相邻汉明距离: 799)
039. flower          (相邻汉明距离: 839)
040. orange          (相邻汉明距离: 629)
041. tiger           (相邻汉明距离: 774)
042. sugar           (相邻汉明距离: 797)
043. soil            (相邻汉明距离: 793)
044. grief           (相邻汉明距离: 837)
045. surprise        (相邻汉明距离: 743)
046. snow            (相邻汉明距离: 744)
047. phone           (相邻汉明距离: 728)
048. sad             (相邻汉明距离: 739)
049. rain            (相邻汉明距离: 670)
050. sorrow          (相邻汉明距离: 717)
051. elephant        (相邻汉明距离: 813)
052. lake            (相邻汉明距离: 797)
053. banana          (相邻汉明距离: 707)
054. stone           (相邻汉明距离: 726)
055. strawberry      (相邻汉明距离: 718)
056. grass           (相邻汉明距离: 660)
057. love            (相邻汉明距离: 701)
058. calm            (相邻汉明距离: 731)
059. bird            (相邻汉明距离: 773)
060. lion            (相邻汉明距离: 511)
061. milk            (相邻汉明距离: 768)
062. wine            (相邻汉明距离: 755)
063. tree            (相邻汉明距离: 693)
064. water           (相邻汉明距离: 668)
065. noodle          (相邻汉明距离: 786)
066. river           (相邻汉明距离: 806)
067. cat             (相邻汉明距离: 705)
068. coffee          (相邻汉明距离: 729)
069. tea             (相邻汉明距离: 406)
070. peaceful        (相邻汉明距离: 782)
071. bear            (相邻汉明距离: 734)
072. beer            (相邻汉明距离: 626)
073. shame           (相邻汉明距离: 840)
074. hate            (相邻汉明距离: 691)
075. proud           (相邻汉明距离: 768)
076. screen          (相邻汉明距离: 761)
077. software        (相邻汉明距离: 623)
078. sun             (相邻汉明距离: 690)
079. hardware        (相邻汉明距离: 687)
080. program         (相邻汉明距离: 620)
081. star            (相邻汉明距离: 710)
082. system          (相邻汉明距离: 574)
083. email           (相邻汉明距离: 680)
084. search          (相邻汉明距离: 700)
085. code            (相邻汉明距离: 711)
086. friendly        (相邻汉明距离: 715)
087. algorithm       (相邻汉明距离: 734)
088. computer        (相邻汉明距离: 666)
089. rabbit          (相邻汉明距离: 723)
090. mouse           (相邻汉明距离: 623)
091. cow             (相邻汉明距离: 662)
092. rice            (相邻汉明距离: 557)
093. cake            (相邻汉明距离: 623)
094. chicken         (相邻汉明距离: 718)
095. horse           (相邻汉明距离: 693)
096. nervous         (相邻汉明距离: 806)
097. joy             (相邻汉明距离: 730)
098. keyboard        (相邻汉明距离: 734)
099. dog             (相邻汉明距离: 767)
100. server          (相邻汉明距离: 739)
