=== 语义排序结果体验 ===
算法: sorted_kmeans_tsp.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 2.032 ms
- 平均相邻汉明距离: 636.43 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 861 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. cow             (起点)
002. cake            (相邻汉明距离: 530)
003. bread           (相邻汉明距离: 521)
004. rice            (相邻汉明距离: 528)
005. rabbit          (相邻汉明距离: 574)
006. moon            (相邻汉明距离: 641)
007. sun             (相邻汉明距离: 569)
008. snow            (相邻汉明距离: 604)
009. rain            (相邻汉明距离: 541)
010. wind            (相邻汉明距离: 490)
011. storm           (相邻汉明距离: 473)
012. forest          (相邻汉明距离: 632)
013. system          (相邻汉明距离: 625)
014. server          (相邻汉明距离: 545)
015. database        (相邻汉明距离: 609)
016. data            (相邻汉明距离: 496)
017. code            (相邻汉明距离: 621)
018. software        (相邻汉明距离: 578)
019. hardware        (相邻汉明距离: 505)
020. computer        (相邻汉明距离: 496)
021. cloud           (相邻汉明距离: 614)
022. network         (相邻汉明距离: 613)
023. internet        (相邻汉明距离: 454)
024. website         (相邻汉明距离: 570)
025. mobile          (相邻汉明距离: 656)
026. phone           (相邻汉明距离: 384)
027. email           (相邻汉明距离: 659)
028. excited         (相邻汉明距离: 804)
029. sad             (相邻汉明距离: 710)
030. peaceful        (相邻汉明距离: 704)
031. friendly        (相邻汉明距离: 664)
032. fish            (相邻汉明距离: 696)
033. lake            (相邻汉明距离: 611)
034. water           (相邻汉明距离: 557)
035. ocean           (相邻汉明距离: 645)
036. soil            (相邻汉明距离: 760)
037. sugar           (相邻汉明距离: 793)
038. tea             (相邻汉明距离: 738)
039. beer            (相邻汉明距离: 524)
040. wine            (相邻汉明距离: 445)
041. cheese          (相邻汉明距离: 730)
042. noodle          (相邻汉明距离: 723)
043. shame           (相邻汉明距离: 860)
044. fear            (相邻汉明距离: 624)
045. anxiety         (相邻汉明距离: 582)
046. angry           (相邻汉明距离: 690)
047. proud           (相邻汉明距离: 671)
048. program         (相邻汉明距离: 719)
049. screen          (相邻汉明距离: 626)
050. sky             (相邻汉明距离: 656)
051. snake           (相邻汉明距离: 666)
052. grass           (相邻汉明距离: 680)
053. coffee          (相邻汉明距离: 660)
054. calm            (相邻汉明距离: 786)
055. river           (相邻汉明距离: 718)
056. orange          (相邻汉明距离: 697)
057. banana          (相邻汉明距离: 613)
058. tree            (相邻汉明距离: 652)
059. stone           (相邻汉明距离: 636)
060. star            (相邻汉明距离: 614)
061. search          (相邻汉明距离: 668)
062. nervous         (相邻汉明距离: 799)
063. disgust         (相邻汉明距离: 769)
064. hate            (相邻汉明距离: 609)
065. love            (相邻汉明距离: 590)
066. joy             (相邻汉明距离: 456)
067. happy           (相邻汉明距离: 454)
068. monkey          (相邻汉明距离: 640)
069. dog             (相邻汉明距离: 593)
070. bear            (相邻汉明距离: 508)
071. bird            (相邻汉明距离: 463)
072. chicken         (相邻汉明距离: 587)
073. whale           (相邻汉明距离: 781)
074. dolphin         (相邻汉明距离: 551)
075. elephant        (相邻汉明距离: 620)
076. lion            (相邻汉明距离: 666)
077. cat             (相邻汉明距离: 473)
078. mouse           (相邻汉明距离: 639)
079. algorithm       (相邻汉明距离: 726)
080. flower          (相邻汉明距离: 714)
081. grape           (相邻汉明距离: 687)
082. mountain        (相邻汉明距离: 747)
083. grief           (相邻汉明距离: 812)
084. sorrow          (相邻汉明距离: 549)
085. lonely          (相邻汉明距离: 691)
086. keyboard        (相邻汉明距离: 861)
087. apple           (相邻汉明距离: 667)
088. memory          (相邻汉明距离: 693)
089. wolf            (相邻汉明距离: 733)
090. horse           (相邻汉明距离: 523)
091. sheep           (相邻汉明距离: 673)
092. meat            (相邻汉明距离: 697)
093. milk            (相邻汉明距离: 681)
094. juice           (相邻汉明距离: 686)
095. strawberry      (相邻汉明距离: 650)
096. giraffe         (相邻汉明距离: 767)
097. shark           (相邻汉明距离: 687)
098. tiger           (相邻汉明距离: 639)
099. thunder         (相邻汉明距离: 717)
100. surprise        (相邻汉明距离: 759)
