=== 语义排序结果体验 ===
算法: sorted_morton.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 0.904 ms
- 平均相邻汉明距离: 743.29 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 884 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. cloud           (起点)
002. soil            (相邻汉明距离: 819)
003. noodle          (相邻汉明距离: 821)
004. internet        (相邻汉明距离: 817)
005. storm           (相邻汉明距离: 776)
006. mobile          (相邻汉明距离: 766)
007. flower          (相邻汉明距离: 737)
008. sorrow          (相邻汉明距离: 781)
009. snow            (相邻汉明距离: 704)
010. hardware        (相邻汉明距离: 701)
011. cow             (相邻汉明距离: 726)
012. rice            (相邻汉明距离: 557)
013. computer        (相邻汉明距离: 737)
014. rain            (相邻汉明距离: 772)
015. excited         (相邻汉明距离: 830)
016. wine            (相邻汉明距离: 819)
017. system          (相邻汉明距离: 673)
018. moon            (相邻汉明距离: 660)
019. data            (相邻汉明距离: 730)
020. fish            (相邻汉明距离: 664)
021. friendly        (相邻汉明距离: 696)
022. bread           (相邻汉明距离: 725)
023. lake            (相邻汉明距离: 726)
024. database        (相邻汉明距离: 727)
025. sugar           (相邻汉明距离: 812)
026. sad             (相邻汉明距离: 752)
027. website         (相邻汉明距离: 731)
028. rabbit          (相邻汉明距离: 720)
029. code            (相邻汉明距离: 716)
030. sheep           (相邻汉明距离: 867)
031. cheese          (相邻汉明距离: 705)
032. sky             (相邻汉明距离: 815)
033. memory          (相邻汉明距离: 715)
034. juice           (相邻汉明距离: 793)
035. ocean           (相邻汉明距离: 785)
036. phone           (相邻汉明距离: 814)
037. cake            (相邻汉明距离: 701)
038. sun             (相邻汉明距离: 713)
039. tea             (相邻汉明距离: 755)
040. email           (相邻汉明距离: 746)
041. anxiety         (相邻汉明距离: 884)
042. water           (相邻汉明距离: 846)
043. forest          (相邻汉明距离: 639)
044. server          (相邻汉明距离: 718)
045. beer            (相邻汉明距离: 773)
046. wind            (相邻汉明距离: 752)
047. calm            (相邻汉明距离: 800)
048. grass           (相邻汉明距离: 780)
049. proud           (相邻汉明距离: 773)
050. shame           (相邻汉明距离: 693)
051. meat            (相邻汉明距离: 793)
052. grief           (相邻汉明距离: 799)
053. grape           (相邻汉明距离: 771)
054. lonely          (相邻汉明距离: 873)
055. mouse           (相邻汉明距离: 848)
056. lion            (相邻汉明距离: 640)
057. cat             (相邻汉明距离: 473)
058. dolphin         (相邻汉明距离: 725)
059. love            (相邻汉明距离: 777)
060. network         (相邻汉明距离: 700)
061. mountain        (相邻汉明距离: 843)
062. monkey          (相邻汉明距离: 687)
063. bird            (相邻汉明距离: 564)
064. software        (相邻汉明距离: 716)
065. peaceful        (相邻汉明距离: 829)
066. stone           (相邻汉明距离: 780)
067. dog             (相邻汉明距离: 700)
068. river           (相邻汉明距离: 714)
069. tree            (相邻汉明距离: 686)
070. chicken         (相邻汉明距离: 776)
071. algorithm       (相邻汉明距离: 808)
072. elephant        (相邻汉明距离: 848)
073. star            (相邻汉明距离: 818)
074. happy           (相邻汉明距离: 659)
075. joy             (相邻汉明距离: 454)
076. bear            (相邻汉明距离: 647)
077. milk            (相邻汉明距离: 758)
078. apple           (相邻汉明距离: 802)
079. horse           (相邻汉明距离: 701)
080. strawberry      (相邻汉明距离: 755)
081. surprise        (相邻汉明距离: 801)
082. wolf            (相邻汉明距离: 779)
083. search          (相邻汉明距离: 734)
084. hate            (相邻汉明距离: 737)
085. keyboard        (相邻汉明距离: 796)
086. giraffe         (相邻汉明距离: 822)
087. whale           (相邻汉明距离: 682)
088. shark           (相邻汉明距离: 601)
089. tiger           (相邻汉明距离: 639)
090. disgust         (相邻汉明距离: 855)
091. coffee          (相邻汉明距离: 808)
092. banana          (相邻汉明距离: 662)
093. nervous         (相邻汉明距离: 773)
094. program         (相邻汉明距离: 845)
095. screen          (相邻汉明距离: 626)
096. angry           (相邻汉明距离: 758)
097. fear            (相邻汉明距离: 706)
098. orange          (相邻汉明距离: 803)
099. snake           (相邻汉明距离: 715)
100. thunder         (相邻汉明距离: 738)
