=== 语义排序结果体验 ===
算法: sorted_pure_hamming_opt_2000.txt
单词总数: 2000
【核心性能与质量指标】
- 排序计算耗时: 259.830 ms
- 平均相邻汉明距离: 589.99 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 903 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 1997
--------------------------------------------------

00001. handshake          (起点)
00002. Hands up.          (相邻汉明距离: 628)
00003. right-hander       (相邻汉明距离: 617)
00004. right-hand         (相邻汉明距离: 373)
00005. right-hand button  (相邻汉明距离: 451)
00006. right then         (相邻汉明距离: 554)
00007. rightly            (相邻汉明距离: 475)
00008. correctly          (相邻汉明距离: 433)
00009. correct            (相邻汉明距离: 427)
00010. correctness        (相邻汉明距离: 492)
00011. corrigendum        (相邻汉明距离: 606)
00012. correction         (相邻汉明距离: 394)
00013. corrector          (相邻汉明距离: 398)
00014. corroborative      (相邻汉明距离: 559)
00015. corollary          (相邻汉明距离: 543)
00016. correspondence     (相邻汉明距离: 604)
00017. correspond         (相邻汉明距离: 327)
00018. correspondingly    (相邻汉明距离: 381)
00019. correspond to      (相邻汉明距离: 446)
00020. correspond with    (相邻汉明距离: 409)
00021. correlate with...  (相邻汉明距离: 445)
00022. relate to          (相邻汉明距离: 502)
00023. relate... to       (相邻汉明距离: 300)
00024. compare...to       (相邻汉明距离: 578)
00025. compare... to      (相邻汉明距离: 68)
00026. compare... with    (相邻汉明距离: 370)
00027. compare... with... (相邻汉明距离: 166)
00028. compare to...      (相邻汉明距离: 327)
00029. compare to         (相邻汉明距离: 197)
00030. compare with       (相邻汉明距离: 269)
00031. compare with...    (相邻汉明距离: 181)
00032. compared with      (相邻汉明距离: 488)
00033. compared to        (相邻汉明距离: 234)
00034. comparatively      (相邻汉明距离: 511)
00035. comparative        (相邻汉明距离: 307)
00036. comparison         (相邻汉明距离: 484)
00037. contrast           (相邻汉明距离: 436)
00038. contra             (相邻汉明距离: 412)
00039. contest            (相邻汉明距离: 433)
00040. competition        (相邻汉明距离: 412)
00041. completion         (相邻汉明距离: 510)
00042. completeness       (相邻汉明距离: 516)
00043. completely         (相邻汉明距离: 532)
00044. complement         (相邻汉明距离: 619)
00045. complementary      (相邻汉明距离: 376)
00046. compliments        (相邻汉明距离: 499)
00047. complacency        (相邻汉明距离: 574)
00048. complacent         (相邻汉明距离: 324)
00049. complaisant        (相邻汉明距离: 431)
00050. compassionate      (相邻汉明距离: 546)
00051. compassion         (相邻汉明距离: 385)
00052. compartment        (相邻汉明距离: 630)
00053. compunction        (相邻汉明距离: 597)
00054. compellation       (相邻汉明距离: 536)
00055. compel             (相邻汉明距离: 409)
00056. convince sb. to do sth. (相邻汉明距离: 639)
00057. convince sb. of sth (相邻汉明距离: 264)
00058. convince of        (相邻汉明距离: 383)
00059. convict            (相邻汉明距离: 550)
00060. convict... of      (相邻汉明距离: 396)
00061. criminate          (相邻汉明距离: 653)
00062. criminal offence   (相邻汉明距离: 623)
00063. criminal law       (相邻汉明距离: 522)
00064. crime rate         (相邻汉明距离: 608)
00065. criminologist      (相邻汉明距离: 704)
00066. microbiologist     (相邻汉明距离: 688)
00067. herpetologist      (相邻汉明距离: 726)
00068. heron              (相邻汉明距离: 670)
00069. herd               (相邻汉明距离: 521)
00070. herald             (相邻汉明距离: 582)
00071. heir               (相邻汉明距离: 615)
00072. hearken            (相邻汉明距离: 625)
00073. heckler            (相邻汉明距离: 630)
00074. checker            (相邻汉明距离: 555)
00075. check              (相邻汉明距离: 256)
00076. confirm            (相邻汉明距离: 490)
00077. confirmed          (相邻汉明距离: 316)
