=== 语义排序结果体验 ===
算法: sorted_pure_hamming_tsp.txt
单词总数: 100
【核心性能与质量指标】
- 排序计算耗时: 0.679 ms
- 平均相邻汉明距离: 595.25 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 856 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 99
--------------------------------------------------

001. cow             (起点)
002. wolf            (相邻汉明距离: 522)
003. dog             (相邻汉明距离: 450)
004. cat             (相邻汉明距离: 471)
005. lion            (相邻汉明距离: 473)
006. monkey          (相邻汉明距离: 509)
007. snake           (相邻汉明距离: 543)
008. fish            (相邻汉明距离: 586)
009. bird            (相邻汉明距离: 553)
010. bear            (相邻汉明距离: 463)
011. horse           (相邻汉明距离: 511)
012. rabbit          (相邻汉明距离: 560)
013. rice            (相邻汉明距离: 574)
014. grass           (相邻汉明距离: 521)
015. tree            (相邻汉明距离: 536)
016. forest          (相邻汉明距离: 449)
017. snow            (相邻汉明距离: 586)
018. rain            (相邻汉明距离: 541)
019. wind            (相邻汉明距离: 490)
020. storm           (相邻汉明距离: 473)
021. sky             (相邻汉明距离: 599)
022. sun             (相邻汉明距离: 551)
023. moon            (相邻汉明距离: 569)
024. star            (相邻汉明距离: 620)
025. system          (相邻汉明距离: 574)
026. server          (相邻汉明距离: 545)
027. computer        (相邻汉明距离: 589)
028. hardware        (相邻汉明距离: 496)
029. software        (相邻汉明距离: 505)
030. program         (相邻汉明距离: 531)
031. code            (相邻汉明距离: 555)
032. algorithm       (相邻汉明距离: 613)
033. data            (相邻汉明距离: 668)
034. database        (相邻汉明距离: 496)
035. cloud           (相邻汉明距离: 638)
036. network         (相邻汉明距离: 613)
037. internet        (相邻汉明距离: 454)
038. website         (相邻汉明距离: 570)
039. search          (相邻汉明距离: 651)
040. screen          (相邻汉明距离: 652)
041. mobile          (相邻汉明距离: 521)
042. phone           (相邻汉明距离: 384)
043. apple           (相邻汉明距离: 567)
044. banana          (相邻汉明距离: 624)
045. bread           (相邻汉明距离: 491)
046. cake            (相邻汉明距离: 521)
047. tea             (相邻汉明距离: 618)
048. coffee          (相邻汉明距离: 406)
049. beer            (相邻汉明距离: 542)
050. wine            (相邻汉明距离: 445)
051. grape           (相邻汉明距离: 550)
052. strawberry      (相邻汉明距离: 591)
053. flower          (相邻汉明距离: 644)
054. love            (相邻汉明距离: 625)
055. joy             (相邻汉明距离: 456)
056. happy           (相邻汉明距离: 454)
057. sad             (相邻汉明距离: 495)
058. sorrow          (相邻汉明距离: 527)
059. grief           (相邻汉明距离: 549)
060. fear            (相邻汉明距离: 672)
061. anxiety         (相邻汉明距离: 582)
062. nervous         (相邻汉明距离: 665)
063. excited         (相邻汉明距离: 683)
064. proud           (相邻汉明距离: 669)
065. angry           (相邻汉明距离: 671)
066. hate            (相邻汉明距离: 651)
067. disgust         (相邻汉明距离: 609)
068. shame           (相邻汉明距离: 602)
069. surprise        (相邻汉明距离: 723)
070. juice           (相邻汉明距离: 733)
071. water           (相邻汉明距离: 678)
072. river           (相邻汉明距离: 512)
073. lake            (相邻汉明距离: 543)
074. stone           (相邻汉明距离: 677)
075. orange          (相邻汉明距离: 659)
076. friendly        (相邻汉明距离: 675)
077. peaceful        (相邻汉明距离: 664)
078. calm            (相邻汉明距离: 570)
079. lonely          (相邻汉明距离: 756)
080. memory          (相邻汉明距离: 799)
081. mouse           (相邻汉明距离: 657)
082. keyboard        (相邻汉明距离: 535)
083. shark           (相邻汉明距离: 769)
084. dolphin         (相邻汉明距离: 570)
085. whale           (相邻汉明距离: 551)
086. elephant        (相邻汉明距离: 649)
087. giraffe         (相邻汉明距离: 583)
088. tiger           (相邻汉明距离: 656)
089. chicken         (相邻汉明距离: 715)
090. meat            (相邻汉明距离: 633)
091. cheese          (相邻汉明距离: 668)
092. milk            (相邻汉明距离: 623)
093. sugar           (相邻汉明距离: 738)
094. thunder         (相邻汉明距离: 754)
095. mountain        (相邻汉明距离: 766)
096. sheep           (相邻汉明距离: 728)
097. ocean           (相邻汉明距离: 795)
098. soil            (相邻汉明距离: 760)
099. noodle          (相邻汉明距离: 821)
100. email           (相邻汉明距离: 856)
