=== 语义排序结果体验 ===
算法: sorted_sig_filter_opt_10000.txt
单词总数: 10000
【核心性能与质量指标】
- 排序计算耗时: 768.138 ms
- 平均相邻汉明距离: 559.44 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 929 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 9986
--------------------------------------------------

00001. handshake          (起点)
00002. handshaking        (相邻汉明距离: 281)
00003. hand-to-hand       (相邻汉明距离: 482)
00004. hand in hand with  (相邻汉明距离: 379)
00005. go hand in hand with (相邻汉明距离: 293)
00006. give a hand        (相邻汉明距离: 513)
00007. hand out           (相邻汉明距离: 414)
00008. hand over          (相邻汉明距离: 428)
00009. hand back          (相邻汉明距离: 471)
00010. keep back          (相邻汉明距离: 496)
00011. get back           (相邻汉明距离: 409)
00012. get back at        (相邻汉明距离: 341)
00013. head back to       (相邻汉明距离: 519)
00014. head towards       (相邻汉明距离: 510)
00015. heading to         (相邻汉明距离: 403)
00016. homing             (相邻汉明距离: 587)
00017. homely             (相邻汉明距离: 550)
00018. homey              (相邻汉明距离: 383)
00019. homestay           (相邻汉明距离: 524)
00020. host family        (相邻汉明距离: 532)
00021. host country       (相邻汉明距离: 552)
00022. hostelry           (相邻汉明距离: 620)
00023. hospitality        (相邻汉明距离: 488)
00024. husbandry          (相邻汉明距离: 672)
00025. husking            (相邻汉明距离: 645)
00026. cornstalk          (相邻汉明距离: 641)
00027. cornfield          (相邻汉明距离: 473)
00028. hayfield           (相邻汉明距离: 547)
00029. Fiel               (相邻汉明距离: 566)
00030. field              (相邻汉明距离: 542)
00031. entry              (相邻汉明距离: 515)
00032. enter              (相邻汉明距离: 327)
00033. entre              (相邻汉明距离: 325)
00034. en                 (相邻汉明距离: 385)
00035. ere                (相邻汉明距离: 304)
00036. er                 (相邻汉明距离: 251)
00037. ever               (相邻汉明距离: 351)
00038. even               (相邻汉明距离: 353)
00039. ess                (相邻汉明距离: 394)
00040. ester              (相邻汉明距离: 376)
00041. ment               (相邻汉明距离: 387)
00042. omen               (相邻汉明距离: 330)
00043. hue                (相邻汉明距离: 457)
00044. hoot               (相邻汉明距离: 394)
00045. halt               (相邻汉明距离: 408)
00046. hot                (相邻汉明距离: 427)
00047. heat               (相邻汉明距离: 352)
00048. holder             (相邻汉明距离: 603)
00049. holding            (相邻汉明距离: 360)
00050. held               (相邻汉明距离: 288)
00051. heck               (相邻汉明距离: 364)
00052. checkpoint         (相邻汉明距离: 511)
00053. checkout           (相邻汉明距离: 469)
00054. check              (相邻汉明距离: 345)
00055. checker            (相邻汉明距离: 256)
00056. unchecked          (相邻汉明距离: 396)
00057. expected           (相邻汉明距离: 471)
00058. desired            (相邻汉明距离: 421)
00059. datum              (相邻汉明距离: 484)
00060. dummy              (相邻汉明距离: 446)
00061. dad                (相邻汉明距离: 492)
00062. da                 (相邻汉明距离: 350)
00063. ac                 (相邻汉明距离: 406)
00064. ma                 (相邻汉明距离: 407)
00065. mal                (相邻汉明距离: 371)
00066. mate               (相邻汉明距离: 411)
00067. mare               (相邻汉明距离: 402)
00068. MER                (相邻汉明距离: 441)
00069. ME                 (相邻汉明距离: 348)
00070. etc                (相邻汉明距离: 408)
00071. LES                (相邻汉明距离: 396)
00072. LE                 (相邻汉明距离: 237)
00073. let                (相邻汉明距离: 355)
00074. lect               (相邻汉明距离: 344)
00075. lest               (相邻汉明距离: 347)
00076. less               (相邻汉明距离: 305)
00077. lose               (相邻汉明距离: 368)
00078. loser              (相邻汉明距离: 306)
00079. lost               (相邻汉明距离: 335)
00080. Lost               (相邻汉明距离: 281)
00081. get lost           (相邻汉明距离: 536)
00082. lose in touch with... (相邻汉明距离: 545)
00083. lose out to        (相邻汉明距离: 575)
00084. lose a game        (相邻汉明距离: 513)
00085. lose heart         (相邻汉明距离: 631)
00086. have... at heart   (相邻汉明距离: 583)
00087. from one's heart   (相邻汉明距离: 493)
00088. put one's heart into (相邻汉明距离: 467)
00089. hearten            (相邻汉明距离: 618)
00090. heartily           (相邻汉明距离: 513)
00091. hearty             (相邻汉明距离: 530)
00092. hefty              (相邻汉明距离: 538)
00093. heavier            (相邻汉明距离: 436)
00094. heavyweight        (相邻汉明距离: 460)
00095. heavy-handed       (相邻汉明距离: 526)
00096. high-handed        (相邻汉明距离: 476)
00097. handpicked         (相邻汉明距离: 594)
00098. handful            (相邻汉明距离: 477)
00099. handiness          (相邻汉明距离: 456)
00100. handy              (相邻汉明距离: 495)
00101. handily            (相邻汉明距离: 297)
00102. come in handy      (相邻汉明距离: 497)
00103. helpful            (相邻汉明距离: 603)
00104. helping            (相邻汉明距离: 461)
00105. Assisting          (相邻汉明距离: 404)
00106. help someone with something (相邻汉明距离: 542)
00107. help someone out   (相邻汉明距离: 278)
00108. help along         (相邻汉明距离: 488)
00109. help on            (相邻汉明距离: 418)
00110. help... with       (相邻汉明距离: 417)
00111. help... out        (相邻汉明距离: 381)
00112. Help!              (相邻汉明距离: 427)
00113. help information   (相邻汉明距离: 529)
00114. help index         (相邻汉明距离: 572)
00115. index              (相邻汉明距离: 570)
00116. index error        (相邻汉明距离: 548)
00117. index file         (相邻汉明距离: 539)
00118. index page         (相邻汉明距离: 586)
00119. home page          (相邻汉明距离: 529)
00120. front page         (相邻汉明距离: 498)
00121. front page news    (相邻汉明距离: 408)
00122. front desk         (相邻汉明距离: 672)
00123. front row          (相邻汉明距离: 524)
00124. front edge         (相邻汉明距离: 476)
00125. frontage           (相邻汉明距离: 516)
00126. foreland           (相邻汉明距离: 629)
00127. forefront          (相邻汉明距离: 488)
00128. in front of        (相邻汉明距离: 502)
00129. in the main        (相邻汉明距离: 705)
00130. mainly             (相邻汉明距离: 482)
00131. mainline           (相邻汉明距离: 546)
00132. mains              (相邻汉明距离: 496)
00133. mainspring         (相邻汉明距离: 535)
00134. restrain           (相邻汉明距离: 685)
00135. self-restrained    (相邻汉明距离: 517)
00136. unrestrained       (相邻汉明距离: 533)
00137. give free rein to  (相邻汉明距离: 549)
00138. free from...       (相邻汉明距离: 576)
00139. free from          (相邻汉明距离: 192)
00140. free access        (相邻汉明距离: 533)
00141. open-access        (相邻汉明距离: 512)
00142. Open University    (相邻汉明距离: 641)
00143. Purdue University  (相邻汉明距离: 646)
00144. Harvard University (相邻汉明距离: 518)
00145. NYU                (相邻汉明距离: 500)
00146. Manhattan          (相邻汉明距离: 554)
00147. New York City      (相邻汉明距离: 341)
00148. New Orleans        (相邻汉明距离: 516)
